SCATS_Number,SCATS Neighbours,NB_LATITUDE,NB_LONGITUDE,V00
2827,4051,-37.78127,145.07688,26
2827,4051,-37.78127,145.07688,56
2827,4051,-37.78127,145.07688,59
2827,4051,-37.78127,145.07688,53
2827,4051,-37.78127,145.07688,90
2827,4051,-37.78127,145.07688,106
2827,4051,-37.78127,145.07688,37
2827,4051,-37.78127,145.07688,32
2827,4051,-37.78127,145.07688,39
2827,4051,-37.78127,145.07688,62
2827,4051,-37.78127,145.07688,51
2827,4051,-37.78127,145.07688,91
2827,4051,-37.78127,145.07688,107
2827,4051,-37.78127,145.07688,52
2827,4051,-37.78127,145.07688,28
2846,970,-37.8612671,145.058038,43
2846,970,-37.8612671,145.058038,16
2846,970,-37.8612671,145.058038,9
2846,970,-37.8612671,145.058038,16
2846,970,-37.8612671,145.058038,18
2846,970,-37.8612671,145.058038,19
2846,970,-37.8612671,145.058038,32
2846,970,-37.8612671,145.058038,51
2846,970,-37.8612671,145.058038,19
2846,970,-37.8612671,145.058038,8
2846,970,-37.8612671,145.058038,26
2846,970,-37.8612671,145.058038,20
2846,970,-37.8612671,145.058038,17
2846,970,-37.8612671,145.058038,35
2846,970,-37.8612671,145.058038,38
2846,970,-37.8612671,145.058038,14
2846,970,-37.8612671,145.058038,21
2846,970,-37.8612671,145.058038,22
2846,970,-37.8612671,145.058038,23
2846,970,-37.8612671,145.058038,20
2846,970,-37.8612671,145.058038,44
2846,970,-37.8612671,145.058038,44
2846,970,-37.8612671,145.058038,20
2846,970,-37.8612671,145.058038,17
2846,970,-37.8612671,145.058038,9
2846,970,-37.8612671,145.058038,12
2846,970,-37.8612671,145.058038,27
2846,970,-37.8612671,145.058038,46
2846,970,-37.8612671,145.058038,46
2846,970,-37.8612671,145.058038,10
2846,970,-37.8612671,145.058038,7
2846,970,-37.86152,145.05851,67
2846,970,-37.86152,145.05851,18
2846,970,-37.86152,145.05851,14
2846,970,-37.86152,145.05851,8
2846,970,-37.86152,145.05851,10
2846,970,-37.86152,145.05851,16
2846,970,-37.86152,145.05851,40
2846,970,-37.86152,145.05851,60
2846,970,-37.86152,145.05851,11
2846,970,-37.86152,145.05851,13
2846,970,-37.86152,145.05851,14
2846,970,-37.86152,145.05851,3
2846,970,-37.86152,145.05851,16
2846,970,-37.86152,145.05851,34
2846,970,-37.86152,145.05851,44
2846,970,-37.86152,145.05851,21
2846,970,-37.86152,145.05851,13
2846,970,-37.86152,145.05851,24
2846,970,-37.86152,145.05851,13
2846,970,-37.86152,145.05851,16
2846,970,-37.86152,145.05851,28
2846,970,-37.86152,145.05851,61
2846,970,-37.86152,145.05851,14
2846,970,-37.86152,145.05851,12
2846,970,-37.86152,145.05851,9
2846,970,-37.86152,145.05851,9
2846,970,-37.86152,145.05851,19
2846,970,-37.86152,145.05851,24
2846,970,-37.86152,145.05851,48
2846,970,-37.86152,145.05851,14
2846,970,-37.86152,145.05851,12
2846,970,-37.86155,145.05751,66
2846,970,-37.86155,145.05751,25
2846,970,-37.86155,145.05751,10
2846,970,-37.86155,145.05751,13
2846,970,-37.86155,145.05751,27
2846,970,-37.86155,145.05751,30
2846,970,-37.86155,145.05751,49
2846,970,-37.86155,145.05751,70
2846,970,-37.86155,145.05751,17
2846,970,-37.86155,145.05751,16
2846,970,-37.86155,145.05751,17
2846,970,-37.86155,145.05751,26
2846,970,-37.86155,145.05751,28
2846,970,-37.86155,145.05751,60
2846,970,-37.86155,145.05751,67
2846,970,-37.86155,145.05751,19
2846,970,-37.86155,145.05751,16
2846,970,-37.86155,145.05751,23
2846,970,-37.86155,145.05751,27
2846,970,-37.86155,145.05751,31
2846,970,-37.86155,145.05751,45
